inDocumentsCount	rawFreq	relativeFreq	comparisonRelativeFreqDifference	relativePeakedness	relativeSkewness	distributions/0	term
discrete	continuous	continuous	discrete	continuous	continuous	continuous	string
1	5.0	0.00036289738	0			0.00036289738	50
1	5.0	0.00036289738	0			0.00036289738	800
1	5.0	0.00036289738	0			0.00036289738	achat
1	5.0	0.00036289738	0			0.00036289738	activité
1	5.0	0.00036289738	0			0.00036289738	ancienneté
1	5.0	0.00036289738	0			0.00036289738	assumer
1	5.0	0.00036289738	0			0.00036289738	autant
1	5.0	0.00036289738	0			0.00036289738	avantageuses
1	5.0	0.00036289738	0			0.00036289738	avis
1	5.0	0.00036289738	0			0.00036289738	âge
1	5.0	0.00036289738	0			0.00036289738	bénéficier
1	5.0	0.00036289738	0			0.00036289738	cadre
1	5.0	0.00036289738	0			0.00036289738	capable
1	5.0	0.00036289738	0			0.00036289738	charge
1	5.0	0.00036289738	0			0.00036289738	cher
1	5.0	0.00036289738	0			0.00036289738	compris
1	5.0	0.00036289738	0			0.00036289738	constituer
1	5.0	0.00036289738	0			0.00036289738	cours
1	5.0	0.00036289738	0			0.00036289738	demandera
1	5.0	0.00036289738	0			0.00036289738	découverts
1	5.0	0.00036289738	0			0.00036289738	difficulté
1	5.0	0.00036289738	0			0.00036289738	directement
1	5.0	0.00036289738	0			0.00036289738	dossiers
1	5.0	0.00036289738	0			0.00036289738	d’acquisition
1	5.0	0.00036289738	0			0.00036289738	emploi
1	5.0	0.00036289738	0			0.00036289738	engagement
1	5.0	0.00036289738	0			0.00036289738	ensuite
1	5.0	0.00036289738	0			0.00036289738	entreprise
1	5.0	0.00036289738	0			0.00036289738	euros
1	5.0	0.00036289738	0			0.00036289738	échéances
1	5.0	0.00036289738	0			0.00036289738	étudiera
1	5.0	0.00036289738	0			0.00036289738	facilement
1	5.0	0.00036289738	0			0.00036289738	fin
1	5.0	0.00036289738	0			0.00036289738	fixes
1	5.0	0.00036289738	0			0.00036289738	forcément
1	5.0	0.00036289738	0			0.00036289738	générale
1	5.0	0.00036289738	0			0.00036289738	grande
1	5.0	0.00036289738	0			0.00036289738	idéal
1	5.0	0.00036289738	0			0.00036289738	impôts
1	5.0	0.00036289738	0			0.00036289738	incidents
1	5.0	0.00036289738	0			0.00036289738	intérêt
1	5.0	0.00036289738	0			0.00036289738	investissement
1	5.0	0.00036289738	0			0.00036289738	jusqu’à
1	5.0	0.00036289738	0			0.00036289738	l'emprunteur
1	5.0	0.00036289738	0			0.00036289738	l’un
1	5.0	0.00036289738	0			0.00036289738	maison
1	5.0	0.00036289738	0			0.00036289738	maximum
1	5.0	0.00036289738	0			0.00036289738	ménages
1	5.0	0.00036289738	0			0.00036289738	nature
1	5.0	0.00036289738	0			0.00036289738	nombre
1	5.0	0.00036289738	0			0.00036289738	nombreux
1	5.0	0.00036289738	0			0.00036289738	premier
1	5.0	0.00036289738	0			0.00036289738	préférable
1	5.0	0.00036289738	0			0.00036289738	primes
1	5.0	0.00036289738	0			0.00036289738	prise
1	5.0	0.00036289738	0			0.00036289738	proposer
1	5.0	0.00036289738	0			0.00036289738	qu’un
1	5.0	0.00036289738	0			0.00036289738	refus
1	5.0	0.00036289738	0			0.00036289738	revanche
1	5.0	0.00036289738	0			0.00036289738	régulièrement
1	5.0	0.00036289738	0			0.00036289738	risqué
1	5.0	0.00036289738	0			0.00036289738	s'agit
1	5.0	0.00036289738	0			0.00036289738	salarié
1	5.0	0.00036289738	0			0.00036289738	savoir
1	5.0	0.00036289738	0			0.00036289738	situé
1	5.0	0.00036289738	0			0.00036289738	solvabilité
1	5.0	0.00036289738	0			0.00036289738	suffisant
